Year,ECD3_bp,CH4_ppb
-392246,394270,550
-392727,394751,594
-393178,395202,585
-393604,395628,603
-394107,396131,594
-394574,396598,602
-394964,396988,590
-395389,397413,605
-395811,397835,600
-396225,398249,612
-396645,398669,608
-397070,399094,593
-397465,399489,580
-397858,399882,607
-398254,400278,607
-398642,400666,662
-399029,401053,628
-399386,401410,627
-399759,401783,633
-400140,402164,646
-400505,402529,642
-400866,402890,640
-401229,403253,653
-401602,403626,681
-401951,403975,664
-402304,404328,674
-402715,404739,661
-403059,405083,663
-403418,405442,659
-403778,405802,700
-404119,406143,708
-404503,406527,672
-404873,406897,691
-405222,407246,736
-405594,407618,710
-405959,407983,681
-406360,408384,695
-406740,408764,711
-407115,409139,714
-407524,409548,699
-407920,409944,710
-408357,410381,713
-408789,410813,701
-409221,411245,694
-409661,411685,700
-410112,412136,712
-410632,412656,659
-411117,413141,656
-411611,413635,690
-412082,414106,696
-412626,414650,677
-413132,415156,638
-413618,415642,639
-413835,415859,620
-414087,416111,623
-414310,416334,630
-414621,416645,633
-415132,417156,634
-415307,417331,671
-415618,417642,647
-415813,417837,668
-416155,418179,635
-416366,418390,658
-416672,418696,660
-416940,418964,655
-417416,419440,665
-417725,419749,687
-417926,419950,674
-418291,420315,695
-418496,420520,678
-418792,420816,699
-419406,421430,703
-419615,421639,684
-420031,422055,689
-420207,422231,672
-420596,422620,689
