Year,1,2,3,4,5,6,7,8,9,10,11,12,Year_meanR,Rain_Anomaly
1988,194.6,79.9,114.7,42.2,83.0,49.4,131.1,120.5,80.2,150.3,55.5,72.8,97.85000000000001,7.502499999999998
1989,89.2,102.2,134.3,83.6,20.9,65.4,23.8,105.8,59.9,147.0,60.0,119.1,84.26666666666667,-6.080833333333345
1990,135.3,192.5,38.2,52.0,37.3,101.6,58.4,71.5,39.7,178.6,74.8,121.0,91.74166666666667,1.3941666666666634
1991,103.4,89.0,109.3,121.3,7.7,91.9,65.2,39.7,79.0,125.3,120.7,63.2,84.64166666666668,-5.705833333333331
1992,66.7,71.6,107.9,103.1,55.8,39.4,101.0,142.3,97.8,56.3,131.6,86.8,88.35833333333333,-1.9891666666666765
1993,133.2,27.7,67.1,104.3,135.0,95.7,87.8,46.1,135.0,62.5,84.8,187.1,97.19166666666666,6.844166666666652
1994,148.3,154.0,119.6,97.9,67.9,55.4,91.9,83.3,87.3,69.7,102.3,159.0,103.05,12.702499999999986
1995,172.6,140.1,97.9,33.0,68.3,31.7,86.3,13.0,66.5,164.1,136.2,94.1,91.98333333333333,1.6358333333333235
1996,146.3,109.6,106.2,93.9,70.1,40.8,64.5,110.8,37.9,169.3,126.5,52.0,93.99166666666666,3.6441666666666492
1997,35.2,134.6,36.4,41.5,82.5,119.1,77.0,157.2,61.6,90.1,162.4,128.8,93.86666666666667,3.5191666666666634
1998,144.4,40.4,90.9,124.0,39.7,132.4,83.7,82.7,96.0,157.4,130.3,135.6,104.79166666666667,14.44416666666666
1999,135.5,61.6,59.7,92.1,60.5,56.2,44.1,109.5,173.6,65.1,102.6,192.8,96.10833333333335,5.760833333333338
2000,66.3,111.7,35.7,79.9,66.7,55.3,58.5,81.8,120.8,180.0,180.4,158.6,99.64166666666665,9.29416666666664
2001,73.6,80.5,89.2,83.0,40.2,60.8,74.8,106.0,66.2,130.6,59.5,60.3,77.05833333333334,-13.289166666666674
2002,151.6,160.2,63.3,102.1,139.5,105.7,70.4,61.9,39.3,199.1,187.3,112.9,116.10833333333333,25.760833333333323
2003,81.8,65.2,56.6,79.3,112.0,95.8,93.5,17.2,57.2,61.8,125.1,89.3,77.9,-12.447500000000005
2004,123.4,52.3,85.9,67.4,47.5,82.4,59.3,122.8,101.9,166.7,54.2,89.5,87.77499999999999,-2.5725000000000193
2005,128.1,51.4,73.6,105.1,86.3,51.9,73.9,65.0,86.6,146.1,99.1,82.7,87.48333333333333,-2.8641666666666765
2006,57.6,54.6,120.3,47.3,126.2,29.8,55.9,70.8,162.6,145.6,142.3,170.5,98.625,8.27749999999999
2007,107.9,107.8,80.3,26.9,65.9,141.3,133.0,100.4,52.8,52.2,75.0,123.1,88.88333333333333,-1.464166666666685
2008,174.3,58.0,113.5,45.1,42.3,101.9,123.8,175.9,108.2,152.4,80.4,73.7,104.12500000000001,13.777500000000003
2009,152.9,36.5,48.7,120.9,90.7,73.2,174.7,148.4,49.4,129.9,244.9,105.4,114.63333333333334,24.28583333333333
2010,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136.0,80.1,135.8,62.5,82.375,-7.972500000000011
